index,year,month,day,big_endian_date,little_endian_date,us_date,title,authors,first_author,second_author,pseudonym_of
3910,2006,8,20,2006-8-20,20/8/2006,8/20/2006,Judge and Jury,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3911,2006,8,27,2006-8-27,27/8/2006,8/27/2006,Judge and Jury,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3912,2006,9,3,2006-9-3,3/9/2006,9/3/2006,Judge and Jury,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3913,2006,9,10,2006-9-10,10/9/2006,9/10/2006,Judge and Jury,James Patterson and Andrew Gross,James Patterson,Andrew Gross,
3914,2006,9,17,2006-9-17,17/9/2006,9/17/2006,Rise and Shine,Anna Quindlen,Anna Quindlen,,
3915,2006,9,24,2006-9-24,24/9/2006,9/24/2006,The Book of Fate,Brad Meltzer,Brad Meltzer,,
3916,2006,10,1,2006-10-1,1/10/2006,10/1/2006,The Thirteenth Tale,Diane Setterfield,Diane Setterfield,,
3917,2006,10,8,2006-10-8,8/10/2006,10/8/2006,The Thirteenth Tale,Diane Setterfield,Diane Setterfield,,
3918,2006,10,15,2006-10-15,15/10/2006,10/15/2006,For One More Day,Mitch Albom,Mitch Albom,,
3919,2006,10,22,2006-10-22,22/10/2006,10/22/2006,For One More Day,Mitch Albom,Mitch Albom,,
3920,2006,10,29,2006-10-29,29/10/2006,10/29/2006,For One More Day,Mitch Albom,Mitch Albom,,
3921,2006,11,5,2006-11-5,5/11/2006,11/5/2006,For One More Day,Mitch Albom,Mitch Albom,,
3922,2006,11,12,2006-11-12,12/11/2006,11/12/2006,Lisey's Story,Stephen King,Stephen King,,
3923,2006,11,19,2006-11-19,19/11/2006,11/19/2006,Dear John,Nicholas Sparks,Nicholas Sparks,,
3924,2006,11,26,2006-11-26,26/11/2006,11/26/2006,Dear John,Nicholas Sparks,Nicholas Sparks,,
3925,2006,12,3,2006-12-3,3/12/2006,12/3/2006,Cross,James Patterson,James Patterson,,
3926,2006,12,10,2006-12-10,10/12/2006,12/10/2006,Cross,James Patterson,James Patterson,,
